Color;VehicleModel;VehicleDesc;ModelYear;VehicleType;DateStolen;Location
Silver;Trailer;ELITE 8X4;2016;Trailer;30/03/22;Canterbury Bight
Silver;Trailer;ROADCHIEF 8X5;2019;Trailer;24/03/22;South Invercargill
Silver;Trailer;LOCAL;1998;Trailer;25/12/21;Carterton
Silver;Trailer;BOAT;2012;Boat Trailer;22/12/21;Wanaka
Silver;Trailer;MM INDUSTRIES;2019;Trailer - Heavy;11/10/21;Wanaka
Silver;Kea;KC85E;2019;Trailer;01/04/22;Bay of Plenty
Silver;Kea;KC106AB;2019;Trailer;29/03/22;Wakatipu L.
Silver;Trailer;BOAT TRAILER;2019;Boat Trailer;12/02/22;Manukau
;;;0;;14/03/22;Manukau
Silver;Kea;CAGE;2019;Trailer - Heavy;24/11/21;Wakatipu L.
Cream;Vespa;SPORTIQUE;1963;Moped;07/12/21;South Invercargill
Silver;Briford;5X4;2019;Trailer;02/11/21;Canterbury Bight
Silver;Trailer;CTDIG;2019;Trailer;22/11/21;Bay of Plenty
Yellow;Suzuki;DR-Z400;2005;Roadbike;12/10/21;Canterbury Bight
Grey;Rhino;DOMESTIC TRAILER;2019;Trailer;28/10/21;Northland
Blue;Homebuilt;TRAILER;1990;Trailer;19/03/22;Wellington
Grey;Trailer;HOMEMADE;1981;Trailer;16/02/22;Manukau
Silver;Trailer;TRAYLA;2019;Trailer;04/02/22;Carterton
Silver;Bricon;357J;2019;Boat Trailer;16/12/21;Wanaka
Silver;Trailer;SMASH PALACE;2019;Trailer;07/03/22;Canterbury Bight
White;Trailer;BRIFORD 5X4 SHUTTLE;1996;Trailer;31/10/21;Canterbury Bight
Silver;Trailer;DIAMOND;2019;Trailer;19/01/22;Carterton
Silver;Kea;K844XA;2019;Trailer;02/04/22;Wakatipu L.
Silver;Trailer;TUFF;2019;Trailer;01/11/21;Manukau
White;Trailer;DMW;2006;Caravan;07/12/21;Auckland
Silver;Briford;TRAILER;2015;Trailer - Heavy;08/03/22;Wanaka
Green;Trailer;HOMEMADE;1979;Trailer;02/12/21;Canterbury Bight
Silver;Trailer;CABLE DRUM;2019;Trailer - Heavy;13/03/22;Tasman B.
Silver;Trailer;LOCAL;1999;Trailer;02/02/22;Auckland
Silver;Trailer;KING;1998;Trailer;19/02/22;Carterton
Grey;Trailer;HOME BUILT;2001;Trailer;14/10/21;South Invercargill
Silver;Trailer;IFOR WILLIAMS;2019;Trailer - Heavy;07/01/22;Northland
Orange;Trailer;LOCAL;1977;Trailer;25/10/21;Bay of Plenty
Red;Triumph;SPEEDTRIPLE;2004;Roadbike;10/02/22;Carterton
Grey;Trailer;DOLY;2019;Trailer;29/11/21;Carterton
Grey;Trailer;SINGLE AXLE;2019;Trailer;15/12/21;Canterbury Bight
Black;Suzuki;GN250;2005;Roadbike;02/04/22;Manukau
White;Honda;XL250;1985;Roadbike;27/03/22;Wellington
Grey;Trailer;ROOFLINE;2019;Trailer;14/02/22;Tasman B.
Silver;Trailer;T D ENGINEERING;2019;Trailer;17/03/22;Carterton
Silver;Trailer;TRADETESTED 7 X 4;2015;Trailer;12/10/21;Wanaka
